[Log] 0.11670686555096177 (Obstacle-start-circular.html, line 124)
[Log] 0.16214573854552014 (Obstacle-start-circular.html, line 124)
[Log] 0.1252385017061998 (Obstacle-start-circular.html, line 124)
[Log] 0.2102544892286807 (Obstacle-start-circular.html, line 124)
[Log] 0.14889279253257404 (Obstacle-start-circular.html, line 124)
[Log] 0.15414099483483637 (Obstacle-start-circular.html, line 124)
[Log] 0.12083063925739675 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.10443512631890631 (Obstacle-start-circular.html, line 124)
[Log] 0.1664030602601068 (Obstacle-start-circular.html, line 124)
[Log] 0.1455567544549096 (Obstacle-start-circular.html, line 124)
[Log] 0.10328761354345314 (Obstacle-start-circular.html, line 124)
[Log] 0.18365891257743777 (Obstacle-start-circular.html, line 124)
[Log] 0.14579327193527453 (Obstacle-start-circular.html, line 124)
[Log] 0.13623266564467382 (Obstacle-start-circular.html, line 124)
[Log] 0.19706446606165734 (Obstacle-start-circular.html, line 124)
[Log] 0.1123482490428184 (Obstacle-start-circular.html, line 124)
[Log] 0.18178166267532486 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.12453055680287325 (Obstacle-start-circular.html, line 124)
[Log] 0.14001619686456626 (Obstacle-start-circular.html, line 124)
[Log] 0.21357348046844443 (Obstacle-start-circular.html, line 124)
[Log] 0.17964641771257966 (Obstacle-start-circular.html, line 124)
[Log] 0.1489873994566457 (Obstacle-start-circular.html, line 124)
[Log] 0.1135734416282324 (Obstacle-start-circular.html, line 124)
[Log] 0.11500170630965405 (Obstacle-start-circular.html, line 124)
[Log] 0.11128287415963148 (Obstacle-start-circular.html, line 124)
[Log] 0.14573062536064285 (Obstacle-start-circular.html, line 124)
[Log] 0.14052383516328895 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.13211558251971103 (Obstacle-start-circular.html, line 124)
[Log] 0.13062054075825086 (Obstacle-start-circular.html, line 124)
[Log] 0.14572747941740807 (Obstacle-start-circular.html, line 124)
[Log] 0.1411690739406041 (Obstacle-start-circular.html, line 124)
[Log] 0.17979314873725277 (Obstacle-start-circular.html, line 124)
[Log] 0.13975962854412485 (Obstacle-start-circular.html, line 124)
[Log] 0.11070920993107114 (Obstacle-start-circular.html, line 124)
[Log] 0.12245087467953542 (Obstacle-start-circular.html, line 124)
[Log] 0.1907208224861499 (Obstacle-start-circular.html, line 124)
[Log] 0.1503040925583287 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1085305498342658 (Obstacle-start-circular.html, line 124)
[Log] 0.18608662087217676 (Obstacle-start-circular.html, line 124)
[Log] 0.16773737221168275 (Obstacle-start-circular.html, line 124)
[Log] 0.13902449729526561 (Obstacle-start-circular.html, line 124)
[Log] 0.12221707340763702 (Obstacle-start-circular.html, line 124)
[Log] 0.12434588996778399 (Obstacle-start-circular.html, line 124)
[Log] 0.14554948104674628 (Obstacle-start-circular.html, line 124)
[Log] 0.11314391277197951 (Obstacle-start-circular.html, line 124)
[Log] 0.08690814094110726 (Obstacle-start-circular.html, line 124)
[Log] 0.14964835333495835 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.11873406402910736 (Obstacle-start-circular.html, line 124)
[Log] 0.14249986237073456 (Obstacle-start-circular.html, line 124)
[Log] 0.1387934417622406 (Obstacle-start-circular.html, line 124)
[Log] 0.19151242047920683 (Obstacle-start-circular.html, line 124)
[Log] 0.16912494540269413 (Obstacle-start-circular.html, line 124)
[Log] 0.1626591195711286 (Obstacle-start-circular.html, line 124)
[Log] 0.15060351314628592 (Obstacle-start-circular.html, line 124)
[Log] 0.08933645728122594 (Obstacle-start-circular.html, line 124)
[Log] 0.15042177296648934 (Obstacle-start-circular.html, line 124)
[Log] 0.20329421703438758 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.15299373851097137 (Obstacle-start-circular.html, line 124)
[Log] 0.17045466758377098 (Obstacle-start-circular.html, line 124)
[Log] 0.12179548761802636 (Obstacle-start-circular.html, line 124)
[Log] 0.12225118577913092 (Obstacle-start-circular.html, line 124)
[Log] 0.18549146092654925 (Obstacle-start-circular.html, line 124)
[Log] 0.14861413344311294 (Obstacle-start-circular.html, line 124)
[Log] 0.13154020810892858 (Obstacle-start-circular.html, line 124)
[Log] 0.15214449551096063 (Obstacle-start-circular.html, line 124)
[Log] 0.14494083233652183 (Obstacle-start-circular.html, line 124)
[Log] 0.11501001822965366 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.1346024702983226 (Obstacle-start-circular.html, line 124)
[Log] 0.15732725076512527 (Obstacle-start-circular.html, line 124)
[Log] 0.1718278261877543 (Obstacle-start-circular.html, line 124)
[Log] 0.08266880124245944 (Obstacle-start-circular.html, line 124)
[Log] 0.10979312301039287 (Obstacle-start-circular.html, line 124)
[Log] 0.13289503230484248 (Obstacle-start-circular.html, line 124)
[Log] 0.16074957795117142 (Obstacle-start-circular.html, line 124)
[Log] 0.10141437185277975 (Obstacle-start-circular.html, line 124)
[Log] 0.12049260832343986 (Obstacle-start-circular.html, line 124)
[Log] 0.11641341713633 (Obstacle-start-circular.html, line 124)
[Log] 0 (Obstacle-start-circular.html, line 124)
[Log] 0.11184247426513547 (Obstacle-start-circular.html, line 124)
[Log] 0.13468430569451417 (Obstacle-start-circular.html, line 124)
[Log] 0.15223530460063378 (Obstacle-start-circular.html, line 124)
[Log] 0.1505733924523573 (Obstacle-start-circular.html, line 124)
[Log] 0.15152539656272673 (Obstacle-start-circular.html, line 124)
[Log] 0.11695919096720071 (Obstacle-start-circular.html, line 124)
[Log] 0.14387970172134254 (Obstacle-start-circular.html, line 124)
[Log] 0.15789748367062048 (Obstacle-start-circular.html, line 124)
[Log] 0.21010776437794637 (Obstacle-start-circular.html, line 124)
