[Log] 0.15444815692518105 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14022927635037338 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16534648903104956 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14293212830717225 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14285652523071354 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13824531762311407 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14113277518654857 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15035379504337734 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15317957957986097 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14686939163015586 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15240360525726412 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.151642379645725 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.7445539355298507 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13951450515741362 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.12772860112888065 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.749361360953483 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13859750264607265 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1260294087901119 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14073035059885422 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1478392653356855 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13453484962386272 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16396692307831576 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14734036847787127 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13649387873712027 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15826459931824374 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1355136445945245 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15663705139871056 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15593665422080522 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13116731118062797 (Obstacle-grid-c100o9.html, line 125)
[Log] 2.75364316572426 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1401344557870922 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14314820224804864 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.16054129026074618 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1526936703049592 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15361994028814654 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15580223154930462 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14738334006845147 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13212743491843695 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14744318841751286 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13628408280443863 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13989797855646502 (Obstacle-grid-c100o9.html, line 125)
[Log] 0 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14061438145684838 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15031515029781442 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1495326238087731 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1496210035831165 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.15012455230939176 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.13087303176134302 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14890545991452042 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.14966978488009192 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1486718314296277 (Obstacle-grid-c100o9.html, line 125)
[Log] 0.1481683504934473 (Obstacle-grid-c100o9.html, line 125)
