[Log] 0.10131706790432009 (Obstacle-start.html, line 124)
[Log] 0.11177910634697327 (Obstacle-start.html, line 124)
[Log] 0.1859674034864694 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.1451276598042351 (Obstacle-start.html, line 124)
[Log] 0.18016131831064386 (Obstacle-start.html, line 124)
[Log] 0.11895560194650057 (Obstacle-start.html, line 124)
[Log] 0.16024841909846094 (Obstacle-start.html, line 124)
[Log] 0.1182623868165078 (Obstacle-start.html, line 124)
[Log] 0.10656564072323327 (Obstacle-start.html, line 124)
[Log] 0.1391439461387377 (Obstacle-start.html, line 124)
[Log] 0.1369544972602385 (Obstacle-start.html, line 124)
[Log] 0.10980897133254997 (Obstacle-start.html, line 124)
[Log] 0.1449780397538829 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.09977500252856839 (Obstacle-start.html, line 124)
[Log] 0.12285798553115232 (Obstacle-start.html, line 124)
[Log] 0.10438627946575366 (Obstacle-start.html, line 124)
[Log] 0.11141659310016391 (Obstacle-start.html, line 124)
[Log] 0.13276959030807942 (Obstacle-start.html, line 124)
[Log] 0.11764952880988436 (Obstacle-start.html, line 124)
[Log] 0.1347941726660012 (Obstacle-start.html, line 124)
[Log] 0.10767127905743994 (Obstacle-start.html, line 124)
[Log] 0.0928387076103228 (Obstacle-start.html, line 124)
[Log] 0.16289149286215449 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.19700161338347974 (Obstacle-start.html, line 124)
[Log] 0.10628952924731978 (Obstacle-start.html, line 124)
[Log] 0.15079864204427662 (Obstacle-start.html, line 124)
[Log] 0.11054776066229288 (Obstacle-start.html, line 124)
[Log] 0.08548617192175151 (Obstacle-start.html, line 124)
[Log] 0.1135510703796188 (Obstacle-start.html, line 124)
[Log] 0.0798643818379131 (Obstacle-start.html, line 124)
[Log] 0.08422729361518791 (Obstacle-start.html, line 124)
[Log] 0.1421089770761657 (Obstacle-start.html, line 124)
[Log] 0.09300131271903704 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.09801713824779609 (Obstacle-start.html, line 124)
[Log] 0.10008491902513768 (Obstacle-start.html, line 124)
[Log] 0.11238629644878873 (Obstacle-start.html, line 124)
[Log] 0.12574802570630272 (Obstacle-start.html, line 124)
[Log] 0.08610023285555028 (Obstacle-start.html, line 124)
[Log] 0.10280105808741413 (Obstacle-start.html, line 124)
[Log] 0.10491989342123756 (Obstacle-start.html, line 124)
[Log] 0.09358702273828975 (Obstacle-start.html, line 124)
[Log] 0.1266351947971242 (Obstacle-start.html, line 124)
[Log] 0.12903175934277109 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.1396811263530991 (Obstacle-start.html, line 124)
[Log] 0.09968892658965137 (Obstacle-start.html, line 124)
[Log] 0.07793772010889757 (Obstacle-start.html, line 124)
[Log] 0.15565347039176797 (Obstacle-start.html, line 124)
[Log] 0.09551542751830562 (Obstacle-start.html, line 124)
[Log] 0.1183591703196211 (Obstacle-start.html, line 124)
[Log] 0.1270813643450902 (Obstacle-start.html, line 124)
[Log] 0.09816332389012315 (Obstacle-start.html, line 124)
[Log] 0.1201721415600114 (Obstacle-start.html, line 124)
[Log] 0.11323315548334696 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.16484623257184178 (Obstacle-start.html, line 124)
[Log] 0.08848820520032584 (Obstacle-start.html, line 124)
[Log] 0.08738683205233998 (Obstacle-start.html, line 124)
[Log] 0.09987876164538909 (Obstacle-start.html, line 124)
[Log] 0.11524592558156924 (Obstacle-start.html, line 124)
[Log] 0.13542895203416724 (Obstacle-start.html, line 124)
[Log] 0.14279004685016722 (Obstacle-start.html, line 124)
[Log] 0.12226063221432297 (Obstacle-start.html, line 124)
[Log] 0.12610654796793663 (Obstacle-start.html, line 124)
[Log] 0.08783079355176773 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.10909246463697402 (Obstacle-start.html, line 124)
[Log] 0.1564972008653285 (Obstacle-start.html, line 124)
[Log] 0.164105046445527 (Obstacle-start.html, line 124)
[Log] 0.10450020363272808 (Obstacle-start.html, line 124)
[Log] 0.1442606648264049 (Obstacle-start.html, line 124)
[Log] 0.07826349038522636 (Obstacle-start.html, line 124)
[Log] 0.08614166494928585 (Obstacle-start.html, line 124)
[Log] 0.10397740251346606 (Obstacle-start.html, line 124)
[Log] 0.14898196022155416 (Obstacle-start.html, line 124)
[Log] 0.13096273660524468 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.13895299490956223 (Obstacle-start.html, line 124)
[Log] 0.12225228748635027 (Obstacle-start.html, line 124)
[Log] 0.15157212734690986 (Obstacle-start.html, line 124)
[Log] 0.1362040030378958 (Obstacle-start.html, line 124)
[Log] 0.11374953696151362 (Obstacle-start.html, line 124)
[Log] 0.14063690356527478 (Obstacle-start.html, line 124)
[Log] 0.07645453377292875 (Obstacle-start.html, line 124)
[Log] 0.12418093921591795 (Obstacle-start.html, line 124)
[Log] 0.11076829898342508 (Obstacle-start.html, line 124)
[Log] 0.1069896091023382 (Obstacle-start.html, line 124)
[Log] 0 (Obstacle-start.html, line 124)
[Log] 0.12969644736647132 (Obstacle-start.html, line 124)
[Log] 0.15495602210298567 (Obstacle-start.html, line 124)
[Log] 0.11203478593325358 (Obstacle-start.html, line 124)
[Log] 0.14251215687043434 (Obstacle-start.html, line 124)
[Log] 0.11799964684654451 (Obstacle-start.html, line 124)
[Log] 0.14948184608631848 (Obstacle-start.html, line 124)
[Log] 0.11982420063077479 (Obstacle-start.html, line 124)
